,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15
min_NeighDiff_shell1_NfUnfilled,-0.22743010876254713,0.016097929165703014,0.09201233920388593,-0.08224832070975248,0.028343751676861775,-0.01805077062285352,-0.05875826378061121,0.18232096386956698,-0.0011492826722086255,0.6535789551219138,0.03830023259110985,-0.004936603883376034,0.20746466604359476,0.0763135674173087,-0.08040522138624472
max_NeighDiff_shell1_NfUnfilled,-0.0701142541111041,0.16796735071595037,-0.00124767162124703,-0.02069775339630327,0.006772328580256272,-0.023569086905162868,-0.03433962576246066,0.03588194652212824,0.03963284525824185,0.917767817716065,0.029027776904308595,-0.04927547844857431,-0.017324328479196068,-0.0916951220402165,0.07347546922104935
range_NeighDiff_shell1_NfUnfilled,-0.0016926177967436379,0.18709601827464928,-0.033284385485950925,0.004731484800226386,-0.0020438856426381697,-0.020786296624279117,-0.019048470273140664,-0.02195786294285459,0.04585917168480387,0.8264772735746446,0.02003770305115888,-0.05481302574686768,-0.09169308422673628,-0.13159849832898568,0.11211590383133477
mean_NeighDiff_shell1_NUnfilled,-0.18728465331008404,0.0334380728713732,0.0628903342166136,0.43134730459169984,0.17940121380033153,-0.03241069313734263,-0.11702931284391914,0.058745493692528926,-0.1249506140696047,0.7158496614504972,0.03612521250958374,0.10384981752294967,0.12867649655519475,0.051254546631583076,-0.03269812579930916
var_NeighDiff_shell1_NUnfilled,0.031996752313496,0.07399680150503071,0.06426877393658603,0.4598857770706096,-0.05877303683092757,-0.009013875887477539,-0.053211101996746654,-0.007066450413499781,-0.1313501735744418,0.7108269107422825,-0.08601296171382383,0.08326125889964936,-0.08487612366700337,-0.15991777655928707,0.04301997217748735
min_NeighDiff_shell1_NUnfilled,-0.29968975165002804,0.0019355325321803334,0.03594558732454902,0.3009694067374822,0.22541602645300765,-0.04317913558549007,-0.13880586575636003,0.10914749793326582,-0.09480481409071269,0.5315145871819306,0.06504035236215186,0.09049264927356808,0.2576745493264329,0.1314217849667962,-0.07512376695496296
max_NeighDiff_shell1_NUnfilled,0.014308151027435755,0.0903707012632467,0.08367106102264864,0.4703386146741262,0.004309353053017236,-0.03220637071022433,-0.04387427179001901,-0.07199113541988901,-0.12553097796258647,0.7654538198585725,-0.04705654225602891,0.053340552873714225,-0.13040745445656812,-0.06102860930307255,0.06828397868484003
range_NeighDiff_shell1_NUnfilled,0.14493725193865023,0.10327949521006603,0.08098386340736881,0.41283838651169713,-0.09165403192456918,-0.01859490081642554,0.0089512318279493,-0.12971856354696554,-0.1039790211432518,0.6540008554370361,-0.08208800421223658,0.02266229812853647,-0.2606776133390028,-0.12663675628355128,0.11086447906652871
mean_NeighDiff_shell1_GSvolume_pa,0.07429783583443107,0.12657110236592492,0.11613497696149465,-0.12257279325438244,0.24050407655686293,0.006886094927883645,0.08855459391951835,0.01877146461486593,-0.10463919087151351,-0.013131524188896607,-0.025699088374892494,0.02927029585967051,0.10036682464890573,0.015498304760756127,0.8444112313135882
var_NeighDiff_shell1_GSvolume_pa,0.24080862879979456,0.12556627952659713,0.10580945288765806,-0.07089619303354465,0.009644132428487575,0.0023531356511466575,0.10153581316463947,-0.03316827641890438,-0.04004784792480326,-0.028630797772832832,-0.06032191315877577,-0.027040728482052852,-0.005351390376635897,-0.05477475197127585,0.8417429547028794
min_NeighDiff_shell1_GSvolume_pa,-0.16838059918458775,0.08650170117559734,0.0779710924047092,-0.1330997163328385,0.23050106330404646,0.016755268082402155,0.011162574315752682,0.09130866323354445,-0.17030027738954467,0.04119799339479689,0.005355498418527899,0.0974081523810314,0.22220421123439515,0.048580872773828006,0.5082632261288399
max_NeighDiff_shell1_GSvolume_pa,0.2280305570997377,0.13308530336097302,0.12320089450502016,-0.0882995538182786,0.04149241130160286,0.002423698448576359,0.11495445044226604,-0.06625304801129087,-0.0460464487593613,-0.02201662033862217,-0.026555090392474844,-0.05854467105460186,-0.026866652512721335,0.012683000336929422,0.8716156036840594
range_NeighDiff_shell1_GSvolume_pa,0.2928578338535353,0.11969748326183045,0.11139123536499616,-0.058429363124134576,-0.019104729186667762,-0.002028295666278028,0.1210091167564627,-0.09683867203278862,-0.0025006209840916123,-0.035189815960707554,-0.030153244950245742,-0.09020769019948383,-0.09060439627003213,0.00022484485680804395,0.8000862463697704
mean_NeighDiff_shell1_GSbandgap,0.043294122808607484,-0.033142920962028116,-0.06454757106096232,-0.059988552646559785,0.08691547016588407,0.870822541125687,0.041541684649680874,-0.1167313344516226,-0.04845189516856235,-0.034692266720908346,0.04218938888061151,-0.06539754919336752,0.02070553216433267,0.0615153953520993,0.04040031207141875
var_NeighDiff_shell1_GSbandgap,0.21802727816749032,-0.06587677518783151,0.057769390464936315,-0.07747522202865664,-0.1934387783961994,0.7657127358614264,0.09156940272551695,-0.1115776045758195,-0.01673878527880424,-0.025178860431291385,0.05098988293493156,-0.11494399518972429,-0.01240826757137817,0.11400069850196654,-0.004078890161794546
