,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15
max_NeighDiff_shell1_MeltingT,0.07101647295053312,0.02140764223127516,-0.032478871639423486,0.023708053540475126,-0.010739931865146617,0.091904352415213,0.10776459976883222,-0.049228581551138996,-0.06506664355066341,-0.08959869650361668,-0.014715024912741593,-0.03362092488112818,0.01604635508039586,-0.017329405725772375,0.07789286253995413
range_NeighDiff_shell1_MeltingT,0.07491017179326268,0.006798714151691378,-0.042028822430492295,0.0008169768987193556,-0.049111119774173956,0.0628883810549268,0.11475193858378256,-0.035710286408190656,-0.04381426342022958,-0.07628241397782598,-0.011975303606758782,-0.045782385697423156,-0.012963011083373116,-0.012559235280154239,0.0812345862547002
mean_NeighDiff_shell1_Column,0.05457519240002949,0.05585884835336699,0.14535599031341792,0.011037912364047553,0.0619413008803287,0.0389426682134206,-0.03957706739920297,0.010745055492424061,-0.016553220875779796,-0.04220572832432299,0.016761675983812997,-0.04922258438163791,-0.06682480301955623,-0.08497135039448224,0.0487045770916121
var_NeighDiff_shell1_Column,0.08121602116888353,0.03255578658124724,0.00747204509624032,-0.003149465627712819,-0.06430532187013427,-0.046489064733772054,0.042965093406450876,0.05949876036099268,0.04368105915565785,-0.0780639397486319,-8.258431601098182e-05,0.009666032714892605,-0.037203583345536605,-0.14547186788751623,-0.057161812770439566
min_NeighDiff_shell1_Column,0.005810616829154162,0.057619124898160755,0.13944869015425912,0.033930125324236525,0.0881872755946142,0.05182427623993512,-0.05599997400782285,-0.01554576872389646,-0.048550090272923986,-0.017629221491702807,-0.008191631837030984,-0.004620188736441622,-0.0176491682867357,-0.07958084389081076,0.0718551694783866
max_NeighDiff_shell1_Column,0.09700268702107079,0.04459927360566183,0.06944514680986517,0.002739316664224926,-0.014312140819686112,-0.025011028457858606,0.02090935539715257,0.03662073972870328,0.0417473341624016,-0.06949270259700187,0.034944605376241666,-0.041174655994781865,-0.07143763438280562,-0.10090593746893013,-0.02467509101736892
range_NeighDiff_shell1_Column,0.09257277505465816,0.007284483644570553,-0.02058587867230537,-0.01906462318391671,-0.07082792365610484,-0.0581035084763265,0.0567123326840721,0.04633759695741786,0.07261702927099825,-0.05767320652688194,0.03995196258831475,-0.037911513599641074,-0.05959131036613109,-0.04908511520464501,-0.07063044680963543
mean_NeighDiff_shell1_Row,0.028667002131308923,0.13452444027969043,-0.005338973596765203,0.00867452080073086,0.045929621986399105,0.06150950603550153,-0.08555137737507607,-0.0713440237227574,0.008642601672728342,0.051011175789881624,0.000995586707350483,0.08405403599277934,0.08440917770768114,0.009621929986706988,-0.05422411416407462
var_NeighDiff_shell1_Row,0.05235424168209341,0.10240897724418836,-0.06391035247380074,0.018313934432285222,-0.0342991862725367,0.007500079488536565,0.024981816498302008,-0.07177422253429294,0.016651401146054373,0.05349622311963985,0.011284319570996975,0.04559991260295309,0.031236167363109316,-0.057251861781701045,-0.0008199315805140675
min_NeighDiff_shell1_Row,0.0005699091798322489,0.11056301234953551,0.009211423733940178,0.009588050597421783,0.056098966710121954,0.055824716398836,-0.10970682647901968,-0.055920293340005235,-0.004071888177312999,0.03794095001548248,-0.011714539150580315,0.10147309390413985,0.09824712994322299,0.008047887399076767,-0.06802848507401672
max_NeighDiff_shell1_Row,0.0641676024539579,0.12319519118523442,-0.05570621543815797,0.0036289484686121997,-0.0356457076617318,0.036431510078265956,-0.02140982325128464,-0.08426749955462547,0.026933593868490657,0.056896968676437176,0.03525282518748087,0.02326207401320885,0.028137453623263968,0.027310643990727485,0.008756914322393996
range_NeighDiff_shell1_Row,0.07346225664548485,0.0707814497406181,-0.07000479420803128,-0.00197844839666719,-0.07701720946751653,0.006087247120254406,0.04577818897302607,-0.06106359985434348,0.03360183554212718,0.04111181201241647,0.0480786789455855,-0.038362565906669456,-0.030682732752756153,0.026257021840278307,0.05373682882570276
mean_NeighDiff_shell1_CovalentRadius,0.06951347543917188,0.1023121978143563,0.07958971913979364,0.03158727114516077,0.03438339131807621,0.011809884099008195,-0.09272306491127119,-0.044322740104383425,-0.003356802165804571,-0.011006548990791879,-0.02332419928632496,0.022397585515074425,0.049366355169928926,0.007870638765514807,-0.02996723972382383
var_NeighDiff_shell1_CovalentRadius,0.07195903448753013,0.07743791854387473,-0.029391660277727123,0.029051499108747787,-0.08871818912309867,-0.038425874991761456,-0.03209998821878814,0.005852231657133014,0.04031825925248307,-0.04592086819818892,-0.07313319849011875,0.07872505638871424,0.07602185245112707,-0.06720646273965135,-0.03428340863487786
