Feature,trans_Pearson,trans_Spearman,trans_Kendall,trans_DistanceCorr,origin_Pearson,origin_Spearman,origin_Kendall,origin_DistanceCorr
range_NeighDiff_shell1_NpValence,-0.10714084916302337,-0.16558190195354464,-0.11325908636212072,0.1787094980308387,-0.06993281813641176,-0.14227755860016056,-0.09613577833113052,0.13781137690868234
mean_NeighDiff_shell1_NdValence,0.45161100302856083,0.4776838752982083,0.33250327887073466,0.45595421639276296,0.050922390698296294,0.2080920983147454,0.1383930813822003,0.15590779380288886
var_NeighDiff_shell1_NdValence,0.42602568974215604,0.432757293417477,0.2963743470045571,0.41540895996502175,0.09207878733778219,0.16025491767505373,0.10796206750105876,0.13379227314317202
min_NeighDiff_shell1_NdValence,0.44819058811974527,0.47968066085340666,0.33372012893186614,0.45465072684538804,-0.03801144046465808,0.17426756053072473,0.11485784889281317,0.10830653682894864
max_NeighDiff_shell1_NdValence,0.4341236568153813,0.43474217408246374,0.2978317216850061,0.41676748958269405,0.06933545219147041,0.17283840463288994,0.11982360492425682,0.13409277813277515
range_NeighDiff_shell1_NdValence,0.2499360700917162,0.21627392669710294,0.14531643881293765,0.23507950865141222,0.098672192661273,0.1472564375821772,0.09928415856749973,0.1219845275625533
mean_NeighDiff_shell1_NfValence,0.5154866107040927,0.5260080571120063,0.3696983438924086,0.5135275803223255,0.263530657646258,0.3624032114234752,0.2787224062445983,0.338694835005542
var_NeighDiff_shell1_NfValence,0.4681369131944208,0.4534962934995881,0.31513837945981993,0.4577305791427228,0.2755558622307721,0.354186388265828,0.27409669319217717,0.32431113232967207
min_NeighDiff_shell1_NfValence,0.5597235817733794,0.5861577757953084,0.4164099144159164,0.56262174061772,0.09051610591103082,0.32255753074307814,0.2490732383023018,0.14214295175251362
max_NeighDiff_shell1_NfValence,0.4694699449758303,0.45559166484351826,0.31653528954095805,0.45896864437341633,0.2618748027642606,0.34240195778288124,0.2706481866278477,0.31529244340987383
range_NeighDiff_shell1_NfValence,0.41652924766976074,0.3921880053542227,0.2700597977103479,0.40736140810863336,0.2590799813138962,0.3501310431549339,0.2706066768578199,0.31313004045409415
mean_NeighDiff_shell1_NValance,0.37744362178016394,0.43108290078698897,0.2983101033677893,0.4192805444950051,0.17212935212311165,0.19477015928067273,0.13183625955237793,0.2144884059256566
var_NeighDiff_shell1_NValance,0.5105029588935269,0.5013551348172371,0.3483405579637657,0.49222056032108724,0.25062125086451875,0.1804361409311636,0.12337718132724686,0.27321483145523523
min_NeighDiff_shell1_NValance,0.3258662067694814,0.4073565434840603,0.28270756918972995,0.40373192771813626,0.05413476804860326,0.13040293094960528,0.08638713304253265,0.10281734399969925
max_NeighDiff_shell1_NValance,0.4633199288705343,0.4651805574645064,0.32141513837945984,0.45440675611221665,0.22597193815518957,0.197974246054739,0.13913794551332243,0.2605434908362133
range_NeighDiff_shell1_NValance,0.47119073442521237,0.4333869770429974,0.29754584861620537,0.4414843689905529,0.25199680287853954,0.18443302190810865,0.12343211364605369,0.27973543718980987
mean_NeighDiff_shell1_NsUnfilled,-0.3122566742460746,-0.17687561209729022,-0.11821851728353897,0.3235240878447088,-0.24538466482160953,-0.3474626433382114,-0.2526560011796491,0.29833980122648657
var_NeighDiff_shell1_NsUnfilled,-0.2313452787545129,-0.18069309474367717,-0.12321618317216851,0.27136523435289595,-0.2388505615728561,-0.3415565785758856,-0.24858803781378694,0.2863338639173218
min_NeighDiff_shell1_NsUnfilled,0.06347384387584255,0.1808963636551515,0.12712682005112813,0.25850293929487606,-0.13095851785962898,-0.3131531409964617,-0.2359327589691417,0.15273565387963148
max_NeighDiff_shell1_NsUnfilled,-0.20747150344999155,-0.15809693267743694,-0.10726197621429365,0.2597115251865636,-0.24942813031831756,-0.3113489682908945,-0.22949561296350118,0.2955608084436707
range_NeighDiff_shell1_NsUnfilled,-0.2420160951483023,-0.21809580645508958,-0.15036612204068023,0.2745546962878042,-0.2228285360648655,-0.31908985647227145,-0.23004898590202985,0.27772945595541143
mean_NeighDiff_shell1_NpUnfilled,-0.5793491402205115,-0.6206918214102023,-0.4400497943759031,0.5922305276178402,0.20645956543684824,0.32461461083054977,0.21412568210516736,0.25753189176346736
var_NeighDiff_shell1_NpUnfilled,0.12401176662562605,-0.06826538002948666,-0.058261642769812154,0.287026430656471,0.12466458800164434,0.18962855053492372,0.12506141138718715,0.17974122321343716
min_NeighDiff_shell1_NpUnfilled,-0.6429570443995802,-0.6347527714169745,-0.4518941869512059,0.6100873570257885,0.19611038830681374,0.3008616904005073,0.19688313717032568,0.24579260059903965
max_NeighDiff_shell1_NpUnfilled,-0.35778857483126075,-0.4682843800315977,-0.3333809047460265,0.4757529502527731,0.19145692804746478,0.2799328189959926,0.18702375297096702,0.2283385125443332
range_NeighDiff_shell1_NpUnfilled,0.03457832291210834,-0.1835696470632941,-0.14003645659664332,0.3304488995439091,0.09133568299979124,0.13103214640391767,0.09118314760603984,0.1466479417226316
mean_NeighDiff_shell1_NdUnfilled,0.6721309793447445,0.5825261433917936,0.4165206179837724,0.6185099945267003,0.16733374081802527,0.2031565205818077,0.15124195587400935,0.21940821719764353
var_NeighDiff_shell1_NdUnfilled,0.6247582051523373,0.49747387038598556,0.3501171501611648,0.572374421526837,0.17288594371187577,0.19106920103209646,0.1438742827867775,0.2065810055216176
min_NeighDiff_shell1_NdUnfilled,0.6361911375094682,0.5610064632229403,0.3982425252862065,0.5791260316952132,0.0842696953438595,0.16514074805420054,0.12622530157458742,0.14388318803399278
