,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15
max_NeighDiff_shell1_Electronegativity,0.1161264594851004,0.037838471209602806,0.028167217059900777,0.01251974248523852,0.007839659010446145,-0.052498477438667805,-0.0011531163124219774,-0.010704555483164126,-0.011161506062568357,-0.0012361003383819865,-0.02813658846743103,-0.02324984000760655,-0.004361522410704749,-0.030356642202567695,-0.08048751223333314
range_NeighDiff_shell1_Electronegativity,0.1024732047949402,0.012313323137845418,-0.04404381933287955,-0.0018651527701364376,-0.07157466238187725,-0.05967552744317318,0.03528660320061536,0.021660914462992276,0.025871298243362352,-0.030065156089902585,-0.04356024605846834,-0.0018102946949983918,-0.0014316281231040952,-0.042915446445738116,-0.10383848738562318
mean_NeighDiff_shell1_NsValence,0.006834571981307511,-0.013446149728627413,0.13234977317626748,-0.11959704104455196,-0.04120687203091771,0.047857770933105094,0.08500101089221176,0.004541772351537779,-0.030632341381680434,0.07816390813428412,-0.007307768809589617,0.0392733590481436,0.09012185803942874,-0.021029518068629346,0.005995786096852886
var_NeighDiff_shell1_NsValence,0.03901513285697871,-0.013001710620259642,0.1033673837387079,-0.09838907146770534,-0.05891787016289782,0.012441397822422443,0.1250344924007747,0.008461909538149945,-0.019008021302111423,0.057277121487452835,0.02221925316302895,-0.013791729131012434,0.08412273594065263,0.03272920344264429,0.02171496142823111
min_NeighDiff_shell1_NsValence,-0.03898545093889828,-0.004275657680359351,0.08186764368425214,-0.07896170853784326,-0.022147120307900007,0.045303479314174826,0.03615751968315551,0.00048169089236806015,-0.030112526797850387,0.05451414913362606,-0.019331095452777846,0.0875617675570484,0.09315156949078342,-0.05035695017494942,-0.042846310893156936
max_NeighDiff_shell1_NsValence,0.03710602292601038,-0.013812836289048126,0.11132130628616525,-0.11075144179573214,-0.07013036273495066,0.015356943388945544,0.12944401483032958,0.003932986739045331,-0.022153884216456296,0.0633703476778707,0.02508139198025933,-0.0037979161308506846,0.09660475629893474,0.038900670286060306,0.0070452678338439375
range_NeighDiff_shell1_NsValence,0.05613287612692018,-0.013239938812163005,0.08738615503533305,-0.08795214699214478,-0.06704285278237203,-0.0018030853571809572,0.1256688205491271,0.004069657515794244,-0.011759199505831956,0.0465217826845082,0.035081620324427305,-0.03979873906916728,0.0668258432267345,0.06271306168253646,0.02510052584185747
mean_NeighDiff_shell1_NpValence,0.08753195966375397,0.0332622061681148,0.07910365933125045,0.01125587063118346,0.11695630866579373,0.0024713835747986533,-0.01925645081489699,0.03367156076493613,-0.04326613877605679,0.0011183692792375638,-0.018955920615268126,-0.01855729019498064,-0.023616131151463812,-0.060541258170345995,0.10248549463987792
var_NeighDiff_shell1_NpValence,0.08135985539849684,0.01970416673221705,-0.052510750609510784,0.003929456565610878,-0.01891228318020761,-0.04710303356335389,0.04865714551496039,0.08345980830205992,-0.0018585218218131836,-0.05074751195293454,-0.078098592376839,0.07533185437103573,0.019953228034238598,-0.1607111691345593,-0.048050949215546014
min_NeighDiff_shell1_NpValence,0.05462054077985651,0.03636505076925981,0.10250313027959146,0.025348136368305154,0.13853185225612738,0.010579687415938175,-0.043125042968434696,-0.001516795691052467,-0.057185507465010735,0.020447418549481514,-0.003292361511770983,-0.019284161237830364,-0.00794540173326878,-0.03963540279184612,0.14058070046482615
max_NeighDiff_shell1_NpValence,0.1093224449291977,0.022249916748776154,0.000743011956307127,-0.00018279890043142438,0.056002554848429704,-0.026617771481160405,0.013057855176760834,0.07248643963549886,-0.017812451085033806,-0.01987514056372414,-0.03862401274460962,0.012136832394671605,-0.021289027639047022,-0.0964551218135409,0.03713099224106469
range_NeighDiff_shell1_NpValence,0.086125694959583,-0.0035763792324593254,-0.08478689974346165,-0.02140891205846157,-0.04829057552201997,-0.040930064018419254,0.05178894303700281,0.0886469164710957,0.026329397494712314,-0.04105059240951715,-0.04380735549997834,0.03075005358499229,-0.019021353656919725,-0.08314084275480217,-0.07275200074605453
mean_NeighDiff_shell1_NdValence,-0.05157531790302297,0.04275589227163777,0.016998116085285134,-0.05559158507140376,0.11470014330682307,-0.009087103278856123,0.045910255055637075,0.07529034878775313,0.07965630616244053,0.061736535914481395,0.011623830417978268,0.14887775522615435,-0.0410814010353378,-0.011075390850101088,-0.0701750315308547
var_NeighDiff_shell1_NdValence,0.007621387075713751,0.03721803707077187,-0.01489642180314111,-0.05855614725045224,0.07408343824078185,-0.06579434798163108,0.07468257245956555,0.045654565427032105,0.12230609746367513,0.08211731990156332,0.04304407384798634,0.13572929489117816,-0.05238101791233452,-0.03487111171181541,-0.026541227446200848
min_NeighDiff_shell1_NdValence,-0.07191618439113262,0.02619607614057436,0.02367715431197788,-0.03172211783909557,0.07299998077645392,0.026546695882740372,0.010191521646005678,0.06483867898939658,0.020648757157603375,0.02393826637667495,-0.014952146686670246,0.10111104623331928,-0.013262902885527644,-0.01113018998953386,-0.07577174080340997
max_NeighDiff_shell1_NdValence,-0.000840125817485434,0.0397660955362966,-0.011017077078436261,-0.07485422695413206,0.08015873387368416,-0.04950887006656238,0.08234862909973369,0.05658276768025369,0.13104445384965877,0.08670749782935276,0.058888909238011176,0.1379121536175598,-0.08625188762063571,0.0046939580339421935,-0.04692515199330279
range_NeighDiff_shell1_NdValence,0.03800074553884142,0.027055378014775713,-0.024216149579999593,-0.06043476631624941,0.043621367818903065,-0.06566108676891368,0.07983968397216039,0.023597880567733938,0.12465708439806095,0.07692706758360666,0.06911583002810509,0.08828421509407666,-0.0822250102860791,0.010880930954318396,-0.00767903258611119
